# T   E/N   |M|/N   Cv/N   Chi/N
2.100000  -1.660422  0.863402  1.367363  10.521567
2.105000  -1.654105  0.844348  1.596531  55.997222
2.110000  -1.650651  0.855686  1.376926  19.208297
2.115000  -1.644940  0.842732  1.616486  48.229266
2.120000  -1.640905  0.847911  1.401518  23.376945
2.125000  -1.634697  0.844280  1.468482  21.619506
2.130000  -1.630068  0.842369  1.367426  16.275353
2.135000  -1.624980  0.841997  1.419545  10.109095
2.140000  -1.620219  0.840581  1.416743  7.080005
2.145000  -1.611882  0.816849  1.733247  58.210360
2.150000  -1.608226  0.825750  1.536566  25.426534
2.155000  -1.602015  0.823127  1.600092  21.089265
2.160000  -1.597524  0.823132  1.535282  11.489241
2.165000  -1.589575  0.808550  1.820739  39.739676
2.170000  -1.584217  0.810121  1.632423  18.685999
2.175000  -1.578483  0.808601  1.515388  9.095765
2.180000  -1.571380  0.795680  1.697899  31.220792
2.185000  -1.565837  0.799959  1.510519  6.822153
2.190000  -1.555922  0.763867  1.961462  94.018474
2.195000  -1.551935  0.783447  1.754810  21.614221
2.200000  -1.545078  0.781109  1.728637  12.455602
2.205000  -1.537777  0.770955  1.721922  20.583465
2.210000  -1.530725  0.762350  1.771862  26.005231
2.215000  -1.522423  0.750040  1.879621  31.811262
2.220000  -1.513761  0.727500  2.076430  80.292075
2.225000  -1.508681  0.740781  1.881846  22.526731
2.230000  -1.497630  0.720473  2.047498  32.193148
2.235000  -1.492865  0.712879  2.049150  67.452481
2.240000  -1.479009  0.690011  2.239441  43.502446
2.245000  -1.470779  0.674457  2.281279  56.546217
2.250000  -1.461984  0.664395  2.143150  50.011121
2.255000  -1.455332  0.659778  2.191755  54.993681
2.260000  -1.437551  0.595776  2.444577  102.683384
2.265000  -1.432031  0.614377  2.491251  64.001266
2.270000  -1.414368  0.538674  2.584418  125.428162
2.275000  -1.406054  0.538940  2.312995  83.243226
2.280000  -1.396279  0.506899  2.314329  117.301815
2.285000  -1.383532  0.455937  2.464769  141.644812
2.290000  -1.368167  0.378276  2.475356  167.588936
2.295000  -1.360279  0.362663  2.418401  173.006162
2.300000  -1.348053  0.333997  2.250419  145.965591
2.305000  -1.336053  0.263877  1.850090  125.372291
2.310000  -1.323469  0.228477  1.741776  98.242020
2.315000  -1.317629  0.230106  1.680578  99.162753
2.320000  -1.315789  0.286398  1.935988  120.469326
2.325000  -1.303272  0.229028  1.671659  94.832334
2.330000  -1.292281  0.180485  1.551874  75.197890
2.335000  -1.287852  0.184315  1.522096  62.227341
2.340000  -1.278873  0.157500  1.434008  48.452661
2.345000  -1.273028  0.163833  1.455633  60.338487
2.350000  -1.266910  0.161809  1.408939  55.126497
2.355000  -1.258462  0.132878  1.352412  44.665898
2.360000  -1.252361  0.141523  1.356165  45.817737
2.365000  -1.246554  0.128452  1.310614  41.178881
2.370000  -1.239490  0.138928  1.301235  40.735340
2.375000  -1.232829  0.112823  1.248380  30.554219
2.380000  -1.226972  0.112425  1.258166  28.815268
2.385000  -1.222012  0.116785  1.235909  32.721662
2.390000  -1.216808  0.119038  1.198912  32.119837
2.395000  -1.209940  0.108040  1.169800  25.871881
2.400000  -1.203706  0.090675  1.140756  19.563173
